sent_to,no. PFDs,overdue,pending,received,% received
Hammerson Plc,2,1,0,1,50
HM Prison Wymott,2,2,0,0,0
Haringey Council,2,1,0,1,50
One Stockport Health and Care Board,2,0,0,2,100
Coventry City Council,2,1,0,1,50
Ebay UK Ltd,2,1,0,1,50
Wychavon District Council,2,0,0,2,100
West Yorkshire Fire and Rescue Service,2,2,0,0,0
British Marine,2,2,0,0,0
North Somerset Council,2,0,0,2,100
One Housing Group,2,1,0,1,50
Edmiston London Heliport,2,2,0,0,0
New Lodge Nursing Home,2,1,0,1,50
Crown Prosecution Service,2,2,0,0,0
Weston Area Health NHS Trust,2,2,0,0,0
Wandsworth Drug and Alcohol Service,2,2,0,0,0
Cumbria Constabulary,2,2,0,0,0
Northampton General Hospital NHS Trust,2,1,0,1,50
"Department for Science, Innovation and Technology",2,1,0,1,50
British Thoracic Society,2,0,0,2,100
Waste Industry Safety and Health Forum,2,1,0,1,50
Various recipients – please see the report.,2,1,0,1,50
Various,2,2,0,0,0
Ofgem,2,1,0,1,50
Cyngor Gwynedd Council,2,0,0,2,100
British Cycling,2,0,0,2,100
East Cheshire NHS Trust,2,1,0,1,50
Not Listed,2,1,0,1,50
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2,1,0,1,50
A ONE+,2,2,0,0,0
British Cardiovascular Intervention Society,2,1,0,1,50
Boots UK Limited,2,2,0,0,0
Cumberland Council,2,0,0,2,100
NHS Wales Shared Services Partnership,2,2,0,0,0
North Yorkshire Police,2,1,0,1,50
Yorkshire Water,2,2,0,0,0
Pembrokeshire County Council,2,2,0,0,0
Society of British Neurological Surgeons,2,1,0,1,50
Dorset County Hospital NHS Foundation Trust,2,0,0,2,100
Bristol City Council,2,2,0,0,0
University of Surrey,2,0,0,2,100
National Ambulance Resilience Unit,2,2,0,0,0
Amey PLC,2,2,0,0,0
Devon Local Medical Committee,2,2,0,0,0
Devon Clinical Commissioning Group,2,2,0,0,0
Oracle,2,0,0,2,100
Youth Justice Board,2,1,0,1,50
Orchard Surgery,2,2,0,0,0
NHS Lothian Scotland,2,2,0,0,0
Peabody Trust,2,1,0,1,50
Navigo,2,2,0,0,0
National Ambulance Services Medical Directors,2,2,0,0,0
Northamptonshire Healthcare NHS Foundation Trust,2,2,0,0,0
Energy UK,2,0,0,2,100
Oxfordshire County Council,2,0,0,2,100
Nuffield Health,2,1,0,1,50
Dartford and Gravesend NHS Trust,2,2,0,0,0
North Laine Medical Centre,2,1,0,1,50
Wirral University Teaching Hospital NHS Foundation Trust,2,1,0,1,50
Welsh Cycling,2,1,0,1,50
Nestor Primecare,2,2,0,0,0
Saffronland Homes Limited,1,1,0,0,0
SERCO Group Plc,1,0,0,1,100
SC Johnson and Son,1,0,0,1,100
Seaton and Colyton Medical Practice,1,0,0,1,100
SE Galvanisers,1,1,0,0,0
Off the Rails Cafe,1,1,0,0,0
SMA Medical Practice,1,1,0,0,0
Safety Matters Ltd,1,1,0,0,0
SSP Health Medical Services Ltd,1,0,1,0,0
Secret Intelligence Service,1,1,0,0,0
Safety Matters (Legal) Limited,1,1,0,0,0
Safety Assessment Federation,1,1,0,0,0
Oaks Medical Centre,1,1,0,0,0
Northern Medical Centre,1,1,0,0,0
Safehands Ltd,1,1,0,0,0
Oasis Recovery Communities,1,0,0,1,100
Northfields Surgery,1,0,0,1,100
Safeguarding Adults Board,1,1,0,0,0
Oakridge House Residential Home,1,1,0,0,0
ORCi,1,0,0,1,100
Royal Devon and Exeter Hospital,1,1,0,0,0
Royal Docks Medical Practice,1,1,0,0,0
Royal Institute of British Architects,1,1,0,0,0
Royal Life Saving Society UK,1,0,0,1,100
Royal Mail,1,0,0,1,100
Royal National Orthopaedic Hospital NHS Trust,1,0,0,1,100
Nuttall Ltd,1,0,0,1,100
Northumbria Water,1,1,0,0,0
Roundwell Medical Centre,1,0,0,1,100
Nuffield Road Medical Centre,1,1,0,0,0
Royal Air Force,1,1,0,0,0
Npower,1,0,0,1,100
Royal Borough of Kensington and Chelsea,1,0,0,1,100
Nottinghamshire Safeguarding Children Partnership,1,1,0,0,0
Billington Farm,1,1,0,0,0
Birnberg Peirce Solicitors,1,1,0,0,0
Royal Orthopaedic Hospital NHS Foundation Trust,1,0,0,1,100
Saga Homecare,1,1,0,0,0
Salisbury Hospital NHS Trust,1,1,0,0,0
Salter Labs,1,0,0,1,100
Royal Pharmaceutical Society of Great Britain,1,0,0,1,100
Royal Society of Medicine,1,0,0,1,100
Royton and Crompton Family Practice,1,1,0,0,0
Oak Side Surgery,1,0,0,1,100
Rt Hon Grant Shapps MP,1,1,0,0,0
Oadby and Wigston Borough Council,1,1,0,0,0
Rugby Football Union,1,0,0,1,100
Rush Court Nursing Home,1,0,0,1,100
Oak Lodge Care Home,1,1,0,0,0
Rush Green Medical Centre,1,1,0,0,0
Rushcliffe Care,1,1,0,0,0
Rushcliffe Clinical Commissioning Group,1,1,0,0,0
S & J Transport,1,1,0,0,0
Royal Cornwall Hospital Truro,1,1,0,0,0
Rugby Football League,1,0,0,1,100
BMI Healthcare Limited,1,1,0,0,0
BMI Hospital Thornbury,1,1,0,0,0
BMJ Group,1,1,0,0,0
BOC Limited,1,0,0,1,100
BUPA Ardenlea Grove Nursing Home,1,0,0,1,100
British Maternal and Fetal Medicine Society,1,1,0,0,0
Shropshire Council,1,0,0,1,100
Shropshire Safeguarding Community Partnership,1,1,0,0,0
Baycroft Care Homes,1,1,0,0,0
British Kitesurfing Association,1,0,0,1,100
British Industrial Truck Association,1,1,0,0,0
Silver Birches Care Home,1,0,0,1,100
British Hospitality,1,0,0,1,100
British Heart Foundation,1,0,0,1,100
North of England Commissioning Report,1,1,0,0,0
North West Waterways Canal & River Trust,1,1,0,0,0
Sixth Form Colleges Association,1,1,0,0,0
Skills for Care,1,1,0,0,0
Sibelco UK Ltd,1,1,0,0,0
Britannia Pharmaceutical Ltd,1,0,0,1,100
Britannia Jinky Jersey Ltd,1,0,0,1,100
Britannia Hotels Group Ltd,1,1,0,0,0
Somewhere House,1,1,0,0,0
South East Fire and Rescue,1,1,0,0,0
South Essex NHS Partnership,1,0,0,1,100
Sheffield Trust,1,1,0,0,0
Bristol Ambulance Emergency Medical Services,1,1,0,0,0
Shepherds Bush Medical Centre,1,1,0,0,0
BMI Healthcare,1,1,0,0,0
Sheridan Teal House,1,1,0,0,0
Shimano Inc,1,1,0,0,0
Shindig Events Limited,1,1,0,0,0
Shire Lodge Nursing Home,1,1,0,0,0
Baron’s Park Nursing Home,1,0,0,1,100
Basildon Road Surgery,1,0,0,1,100
Bateman Engineering Ltd,1,0,0,1,100
Bausch & Lomb UK Ltd,1,1,0,0,0
Bridgewater Community Healthcare NHS Trust,1,0,0,1,100
Brisdoc,1,1,0,0,0
Schindler Ltd,1,0,1,0,0
Beech Cliffe Grange Care Homes,1,0,0,1,100
Beech Dene Residential Home,1,1,0,0,0
Norvic Clinic,1,1,0,0,0
Beechdale Medical Group,1,1,0,0,0
Beechwood Lodge Care Home,1,0,0,1,100
Beeston Health Centre,1,1,0,0,0
Belgravia Care Home Ltd,1,0,0,1,100
Sedgemoor District Council,1,0,1,0,0
Banes Highways,1,1,0,0,0
Bannatyne Group,1,0,0,1,100
Barnet Assist,1,1,0,0,0
Barnet Council,1,0,0,1,100
Barnet and Chase Farm Hospitals NHS Trust,1,0,0,1,100
Northwood Square,1,0,0,1,100
Scottish Cycling,1,1,0,0,0
Scraptoft Court residential Care Home,1,1,0,0,0
Seascape Homes and Property Limited,1,1,0,0,0
Bampton Surgery,1,0,0,1,100
Select Healthcare,1,1,0,0,0
North West Fire Control,1,1,0,0,0
Senior Lawyer Professional Support,1,0,0,1,100
North West Collaborative Clinical Commissioning Group,1,1,0,0,0
Sequence Care Group,1,0,0,1,100
Serco Group,1,1,0,0,0
Serco Wincanton,1,1,0,0,0
Serencroft,1,0,0,1,100
Services for Children,1,1,0,0,0
Scape Living Student Accommodation,1,0,0,1,100
Shaw Healthcare,1,0,0,1,100
Shawe Lodge,1,0,0,1,100
Sheffield County Council,1,1,0,0,0
Nottingham City Council,1,0,0,1,100
Sapphire House,1,1,0,0,0
Sapphire Independent Living,1,0,0,1,100
Savills,1,1,0,0,0
Scania,1,1,0,0,0
Norwich Practices Health Centre,1,0,0,1,100
Nottingham Police,1,1,0,0,0
Prince Charles Hospital,1,1,0,0,0
Princess Street Practice,1,1,0,0,0
Priority Dispatch Corp UK Ltd,1,1,0,0,0
Prism Medical UK Ltd,1,1,0,0,0
Prison Officers' Association,1,1,0,0,0
Pristine Care Group Ltd,1,0,1,0,0
British Association of Plastic Reconstructive and Aesthetic Surgeons,1,1,0,0,0
Proprietary Association,1,1,0,0,0
Provost Marshall (Army),1,1,0,0,0
Roseland Care Home,1,1,0,0,0
Q-Park Limited,1,1,0,0,0
Pinner and District Community Association,1,1,0,0,0
British Association of Paediatric Surgeons,1,0,0,1,100
Pintrest,1,0,0,1,100
Plateus Ltd,1,0,0,1,100
Pluss Work Choice,1,1,0,0,0
Police Safer Roads Team,1,1,0,0,0
Police Service of Northern Ireland,1,1,0,0,0
Porthleven Harbour and Dock Company,1,1,0,0,0
Public Services,1,1,0,0,0
Bourne House,1,1,0,0,0
Brancaster Care,1,0,0,1,100
Blackpool Council,1,0,0,1,100
Bounce Till I Die Events,1,1,0,0,0
Blaenau Gwent County Borough Council,1,0,0,1,100
Blatchington Mill School,1,1,0,0,0
Blenheim House Care Home,1,0,0,1,100
Bloomfield Medical Centre,1,1,0,0,0
Borough Council of King’s Lynn & West Norfolk,1,1,0,0,0
Primebulk Shipmanagement Limited,1,1,0,0,0
Boatfolk Marinas Ltd,1,0,0,1,100
RPFI,1,1,0,0,0
Radcliffe Investment Properties,1,0,0,1,100
Radcliffe Manor House Care Home,1,1,0,0,0
RadcliffesLeBrasseur LLP,1,0,0,1,100
British Association of Urological Surgeons,1,0,0,1,100
Radiology Reporting Online LLP,1,1,0,0,0
Ramblegard Ltd,1,1,0,0,0
Prime Life Limited,1,1,0,0,0
Boat Safety Scheme,1,0,0,1,100
Phoenix Futures,1,1,0,0,0
Phuket Highway District,1,1,0,0,0
Over Manager,1,1,0,0,0
Physio Control UK Ltd,1,0,0,1,100
Pindy Enterprises Limited,1,1,0,0,0
Partnerships In Care,1,0,0,1,100
Partnerships in Care,1,1,0,0,0
Passmonds Care Home,1,1,0,0,0
Outlook Care Ltd,1,0,0,1,100
British Association of Dermatologists,1,1,0,0,0
Patient Transport UK Ltd,1,1,0,0,0
Pelham House,1,0,0,1,100
Peel Medical Practice,1,0,0,1,100
Peel Holdings,1,1,0,0,0
Peaks and Plains Housing Trust,1,0,0,1,100
Patrick Stead Hospital,1,1,0,0,0
Peak Valley Housing Association,1,1,0,0,0
Paul Wainwright Construction Services Ltd,1,0,0,1,100
Peabody,1,1,0,0,0
Pelican Partners Ltd,1,1,0,0,0
British Association of Aesthetic Plastic Surgeons,1,1,0,0,0
Portsmouth Motocross Club,1,0,0,1,100
Premier Rescue Ambulance Services,1,0,0,1,100
Pret a Manger,1,1,0,0,0
Primary Care Support England,1,1,0,0,0
Pentree Lodge Home,1,0,0,1,100
Persimmon Homes,1,0,0,1,100
British Army,1,0,0,1,100
PLASA,1,1,0,0,0
Phoenix Care Centre,1,0,0,1,100
PJ Care,1,1,0,0,0
Peterborough and Stamford NHS Trust,1,1,0,0,0
Petroc GP Group Practice,1,0,0,1,100
PCRSteel Ltd.,1,1,0,0,0
Pfizer,1,1,0,0,0
Philips Electronics UK Ltd,1,1,0,0,0
Philips Respironics,1,1,0,0,0
P3 Charity,1,0,0,1,100
Phillips Healthcare,1,1,0,0,0
Persona Care and Support Ltd,1,0,0,1,100
Belong Village,1,0,0,1,100
Old Catton Medical Practice,1,0,0,1,100
Berger Primary School,1,0,0,1,100
Berkeley Home Health,1,0,0,1,100
Old Bridge Surgery,1,0,0,1,100
Berkshire and Surrey Pathology Services,1,1,0,0,0
Berrycroft Manor Care Home,1,1,0,0,0
Bexley Social Services,1,0,0,1,100
Bilbrook Medical Centre,1,1,0,0,0
Bournemouth Churches Housing Association,1,0,0,1,100
Rossmere Park Care Home,1,1,0,0,0
Rother District Council,1,0,0,1,100
Roundhouse,1,1,0,0,0
Richmond Medical Centre,1,0,0,1,100
Rights and Responsibilities Group,1,1,0,0,0
Office of the Speaker’s Counsel,1,1,0,0,0
Ringmead Medical Group,1,0,0,1,100
Risedale Estates Limited,1,1,0,0,0
Ritchie Street Group Practice,1,0,0,1,100
Rossendale Nursing Home,1,0,0,1,100
Orchard Care Homes,1,1,0,0,0
Orchard 2000 Pharmacy,1,0,0,1,100
Beacon Healthcare,1,0,0,1,100
Beamish Museum,1,1,0,0,0
Beatson Clark,1,1,0,0,0
Royal College of Gynaecologists and Obstetricians,1,1,0,0,0
Rope Green Medical Centre,1,1,0,0,0
Rose Builders and Contractors Ltd,1,1,0,0,0
Roseberry Care Centres,1,0,0,1,100
Bombardier Transportation UK Ltd,1,0,0,1,100
Rosedale Surgery Lowestoft,1,1,0,0,0
Rosehill House Care Home,1,1,0,0,0
Options for Care Ltd,1,0,0,1,100
Rosewood Healthcare Group,1,0,0,1,100
Rosewood Lodge Nursing Home,1,0,0,1,100
Optare,1,1,0,0,0
Bodmin Road Health Centre,1,0,0,1,100
Boehringer Ingelheim Limited,1,0,0,1,100
Boldmere Court Care Home,1,1,0,0,0
Rosedale Care Home,1,0,0,1,100
Parkview Practice,1,1,0,0,0
Parkhill Group of Companies,1,1,0,0,0
Quarry House,1,1,0,0,0
Queen Victoria Hospital NHS Foundation Trust,1,1,0,0,0
Queens Hospital Burton Upon Trent,1,1,0,0,0
Queen’s Harbour Master Portsmouth,1,0,0,1,100
Quora,1,1,0,0,0
RCI,1,1,0,0,0
Parkdeane Holidays,1,1,0,0,0
Riverside Rest Home,1,1,0,0,0
Park and Francis Surgery,1,0,0,1,100
RICS,1,0,0,1,100
Park Holiday UK Limited,1,0,0,1,100
Brace Street Health Centre,1,0,0,1,100
POM-EKO,1,1,0,0,0
Bowden Derra Park Ltd,1,0,0,1,100
Bow School,1,0,0,1,100
Bradford Teaching Hospitals NHS Foundation Trust,1,0,0,1,100
Brainwaves,1,1,0,0,0
RCPLT,1,1,0,0,0
Office for Students,1,0,0,1,100
Rochcare,1,0,0,1,100
Rochdale Adult Care,1,1,0,0,0
Rochdale Borough Council,1,0,0,1,100
Roche Diagnostics Limited,1,0,0,1,100
Rocky Lane Medical Centre,1,1,0,0,0
Rookery Medical Centre,1,1,0,0,0
Ramsay Healthcare UK,1,1,0,0,0
Ranc Care Home Ltd,1,0,0,1,100
Reinbek Care Home,1,0,0,1,100
Parkway Health Centre,1,1,0,0,0
Recovery Steps Cumbria,1,0,0,1,100
Red House Surgery,1,0,0,1,100
Redningsselskapet,1,1,0,0,0
Reed Nursing Trust,1,1,0,0,0
Regard Care,1,1,0,0,0
Regeneration and Environment,1,1,0,0,0
Regenesis Health Travel Limited,1,0,0,1,100
Registered Nursing Home Association,1,1,0,0,0
Reigate and Banstead Council,1,1,0,0,0
Reckitt Benckiser Healthcare UK Ltd,1,0,0,1,100
Aran Court Care Centre,1,0,0,1,100
Arboricultural Association,1,0,0,1,100
Arden Court Nursing Home,1,0,0,1,100
ArjoHuntleigh,1,1,0,0,0
Ashfield Surgery Sutton Coldfield,1,0,0,1,100
Air Liquide,1,1,0,0,0
Airedale NHS Foundation Trust,1,1,0,0,0
Al Hijrah School,1,0,0,1,100
Alexander Court Care Central,1,0,0,1,100
Alexander House Health Centre,1,0,0,1,100
St Chads Medical Practice,1,1,0,0,0
Alexandra Rose Care Home,1,0,0,1,100
Alexandra View Care Home,1,0,0,1,100
All-Party Parliamentary Carbon Monoxide Group,1,1,0,0,0
University Hospital Leicester,1,1,0,0,0
University Hospital of South Manchester,1,1,0,0,0
University Hospital of South Manchester NHS Foundation Trust,1,1,0,0,0
UK Care Services,1,1,0,0,0
UK Cleaning Product Industry Association,1,0,1,0,0
UK Fatal Anaphylaxis Registry,1,1,0,0,0
UK Foundation Programme,1,1,0,0,0
UK Home Care,1,1,0,0,0
Alexandra Palace,1,0,0,1,100
University of Warwick,1,0,0,1,100
University of Wolverhampton,1,0,0,1,100
University of the Arts London,1,0,0,1,100
Unusual Rigging Ltd,1,1,0,0,0
Uplands Medical Practice,1,0,0,1,100
Upwell Street Surgery,1,1,0,0,0
Urban Housing Services,1,0,0,1,100
Urgent Health UK,1,0,0,1,100
VOSA,1,1,0,0,0
VOSA Berkeley House,1,1,0,0,0
Vale of Glamorgan Council,1,0,0,1,100
Appleton Lodge Care Home,1,1,0,0,0
University Hospitals of Leicester,1,0,0,1,100
University of Cambridge,1,0,0,1,100
University of Hertfordshire,1,1,0,0,0
University of Oxford,1,0,0,1,100
University of Reading,1,1,0,0,0
United Children’s Services,1,0,0,1,100
United Pharmacy,1,0,0,1,100
United Response,1,1,0,0,0
Unity Insurance Services,1,1,0,0,0
Unity MAT,1,1,0,0,0
Universities UK,1,1,0,0,0
Vantage Drilling Company,1,0,0,1,100
Toxbase,1,0,0,1,100
Tradomi S L Transporte,1,1,0,0,0
Trafford Crisis Resolution and Home Treatment Team,1,1,0,0,0
Transitional Rehabilitation Unit LTD,1,0,0,1,100
Transport Focus,1,0,0,1,100
Transport for West Midlands,1,1,0,0,0
Travel Lodge,1,0,0,1,100
The Waterfield Practice,1,1,0,0,0
The Youth Justice Board,1,1,0,0,0
Thomas Cook,1,0,0,1,100
UK National Screening Committee,1,1,0,0,0
Thornton Heath Medical Practice,1,1,0,0,0
Thornton and Ross Ltd,1,1,0,0,0
Three Sisters Care Ltd,1,1,0,0,0
Timperley Care Home,1,1,0,0,0
Titan Containers Limited,1,1,0,0,0
Together Housing,1,1,0,0,0
TomTom,1,0,1,0,0
Tonic Construction Ltd,1,1,0,0,0
Torbay Hospital,1,1,0,0,0
Torbay and South Devon Clinical Commissioning Group,1,1,0,0,0
The Right Honourable Jeremy Hunt MP,1,1,0,0,0
Thomas Cook Group,1,1,0,0,0
UK Tram,1,1,0,0,0
UK-AFI,1,1,0,0,0
UNMH,1,0,0,1,100
UPS,1,0,0,1,100
URBN UK Ltd,1,0,0,1,100
Ultra Events Ltd,1,0,0,1,100
Unilink Software Ltd,1,1,0,0,0
United Care (North) Limited,1,1,0,0,0
Treanor Pujol Limited,1,1,0,0,0
Treasury Solicitors,1,1,0,0,0
Treatment Direct Limited,1,1,0,0,0
Tower Hamlets Social Services,1,0,0,1,100
Tricuro,1,0,0,1,100
Trinity Medical Centre,1,1,0,0,0
Tunstall Response,1,0,0,1,100
Twinglobe Care Homes Limited,1,0,0,1,100
Twitter International Company,1,0,0,1,100
Tyersal Farm,1,0,0,1,100
Tynant Nursing Home,1,0,0,1,100
Tyne Housing Association,1,1,0,0,0
UCB Pharma,1,1,0,0,0
UK Active,1,1,0,0,0
Totally PLC,1,1,0,0,0
Trent and Dove Social Housing,1,1,0,0,0
A J Way and Co Ltd,1,1,0,0,0
999-112 Liaison Committee,1,1,0,0,0
5 Boroughs Partnership,1,0,0,1,100
3D Trans,1,1,0,0,0
Wirral Clinical Commissioning Group,1,0,0,1,100
Withybush General Hospital,1,1,0,0,0
Woking Borough Council,1,1,0,0,0
Wood Street Medical Centre,1,0,0,1,100
Woodlands Surgery,1,0,0,1,100
Wibsey and Queensbury Medical Practice,1,1,0,0,0
University of Sussex,1,0,0,1,100
William Perkin High School,1,1,0,0,0
Wilsden Medical Practice,1,0,0,1,100
West Midlands Combined Authority,1,1,0,0,0
West Midlands Fire Service,1,1,0,0,0
West Quay Surgery,1,0,0,1,100
West Sussex County Social Services,1,1,0,0,0
West Timperley Medical Centre,1,0,0,1,100
West Wales General Hospital Glangwili Carmarthen,1,0,0,1,100
West of England Combined Authority,1,1,0,0,0
Westlands Care Home,1,0,0,1,100
Westmorland Court Care Home,1,1,0,0,0
Widnes Hall Care Home,1,1,0,0,0
Westwood Homecare Limited,1,1,0,0,0
Wexham Park Hospital,1,1,0,0,0
Weymouth Street Hospital,1,0,0,1,100
White Branch Live Limited,1,1,0,0,0
Whitefriars Housing,1,0,0,1,100
Whitelock Development,1,0,0,1,100
Whitepost Healthcare Group,1,1,0,0,0
Advinia Healthcare Ltd,1,1,0,0,0
"Advisory, Conciliation and Arbitration Service",1,1,0,0,0
Advocacy Together,1,1,0,0,0
Affinity Healthcare Ltd,1,1,0,0,0
A2Dominion of The Point,1,0,0,1,100
Air Balloon Surgery,1,0,0,1,100
Winchmore Hill Practice,1,1,0,0,0
1st For Health International,1,1,0,0,0
Ynys Mon County Council,1,0,0,1,100
York House Surgery,1,1,0,0,0
York Road Pharmacy,1,0,1,0,0
Yorkshire Care Equipment,1,1,0,0,0
Woodley Centre Surgery,1,0,0,1,100
Woolwich Station Medical Centre,1,1,0,0,0
Worcestershire Safeguarding Children’s Board,1,0,0,1,100
Worthing Homes,1,1,0,0,0
Agrade Community Care Services,1,1,0,0,0
Aden Nursing Home,1,0,0,1,100
Adferiad Recovery,1,0,0,1,100
Adullam Homes Housing Association,1,1,0,0,0
Advanced Health and Care Ltd,1,1,0,0,0
Waterloo Manor Hospital,1,0,1,0,0
Waterside Medical Centre,1,0,0,1,100
Waveney River Centre,1,0,0,1,100
Waxham House Residential Care Home,1,1,0,0,0
Wayland Farms Limited,1,0,0,1,100
Wayne Clarey Roofing & Cladding Ltd,1,0,0,1,100
Vascular Access Society of Britain and Ireland,1,1,0,0,0
Westmorland and Furness Council,1,0,0,1,100
Viatris UK Healthcare Ltd,1,0,0,1,100
Villa Adastra Care Home,1,1,0,0,0
Village Nursing and Care Home,1,1,0,0,0
Virgin Care Limited,1,0,0,1,100
Volvo Group UK Limited,1,0,0,1,100
Voyage Care,1,1,0,0,0
W E Rawson Ltd,1,0,0,1,100
W M Morrisons PLC,1,0,0,1,100
Wales and West Utilities,1,1,0,0,0
University of South Wales,1,0,0,1,100
University of Southampton,1,1,0,0,0
Vehicle Operator Services Agency,1,1,0,0,0
We Are With You charity,1,0,0,1,100
Weightmans LLP,1,1,0,0,0
Weightmans’s Solicitors,1,1,0,0,0
Wells Pharmacy,1,1,0,0,0
Wells Road Surgery,1,0,0,1,100
Wellsky,1,1,0,0,0
Wessex Water Services Limited,1,0,0,1,100
West Berkshire Highways Authority,1,0,0,1,100
West End Garage,1,1,0,0,0
West London Alliance,1,1,0,0,0
Walsall and Dudley Mental Health NHS Trust,1,0,0,1,100
Adelaide Medical Centre,1,0,0,1,100
Warrington and Halton Hospitals NHS Trust,1,0,0,1,100
Warwickshire City Council,1,1,0,0,0
Alliance Pharmaceuticals,1,0,0,1,100
Alternative Futures Group,1,1,0,0,0
Alvaston Medical Centre,1,0,0,1,100
Ambassador House Care Home,1,0,0,1,100
Amberley Hall Care Home,1,1,0,0,0
Adbolton Hall Nursing Home,1,0,0,1,100
Addaction,1,0,0,1,100
Addcounsel,1,0,0,1,100
Addiction Dependency Solutions,1,0,0,1,100
Wanstead Place Surgery,1,1,0,0,0
Student Roost,1,0,0,1,100
Suffolk Safeguarding Partnership,1,0,0,1,100
Sunlight Care Group,1,0,0,1,100
Sunnyside Nursing Home,1,0,0,1,100
Sunrise Medical Limited,1,0,0,1,100
St Mary’s Hospital Warrington,1,1,0,0,0
St Mary’s Nursing Home,1,1,0,0,0
St Stephens Gate Medical Practice,1,0,0,1,100
Staffordshire Moorlands District Council,1,0,1,0,0
"Staffordshire, Shropshire and Black Country Newborn Network",1,0,0,1,100
The Right Honourable Theresa May MP,1,1,0,0,0
Avon Care Home Limited,1,0,0,1,100
Avon and Salisbury Constabulary,1,0,0,1,100
Axminster Medical Practice,1,0,0,1,100
B & D Civil Engineering Limited,1,0,0,1,100
Ashford Borough Council,1,1,0,0,0
Ashgate House Nursing Home,1,1,0,0,0
Ashlea Medical Practice,1,0,0,1,100
Stanley Park Care Centre,1,0,0,1,100
Steadplan Ltd,1,1,0,0,0
StockXS Limited,1,1,0,0,0
Stockport Homes,1,0,0,1,100
Stamford Quarter Shopping Centre,1,1,0,0,0
Amphenol Thermometrics UK Ltd,1,1,0,0,0
Anastasia Boat,1,0,0,1,100
Anetic Aid Limited,1,0,0,1,100
Angel Solutions UK Limited,1,1,0,0,0
Anglian Community Enterprise,1,1,0,0,0
Antron Manor Care Home,1,0,0,1,100
TPP,1,0,0,1,100
TPP LTD,1,0,0,1,100
TUI Group,1,1,0,0,0
Tadworth Grove Care Home,1,1,0,0,0
Supreme Care Services Limited,1,0,0,1,100
Stretton Medical Centre,1,1,0,0,0
Surrey Community Health,1,1,0,0,0
Sussex Community Dermatology Service,1,1,0,0,0
Sussex Community NHS Foundation Trust,1,0,0,1,100
Sussex Community NHS Trust,1,0,0,1,100
Sustrans,1,0,0,1,100
Sutton and East Surrey Water Plc,1,1,0,0,0
Swanage Medical Practice,1,0,0,1,100
Stockton NHS Foundation Trust,1,1,0,0,0
Stone Federation Great Britain,1,1,0,0,0
Stonefield Street Surgery,1,0,0,1,100
Stoneham Bass,1,0,0,1,100
Surgeon,1,1,0,0,0
Atlantic Reach Limited,1,0,1,0,0
Atrumed Ltd,1,0,0,1,100
Audlem Medical Practice,1,0,0,1,100
Auto Cycle Union,1,0,0,1,100
Avenue House Nursing and Care Home,1,1,0,0,0
Avery Healthcare,1,0,0,1,100
Spaces and Places Limited,1,1,0,0,0
Specsavers UK,1,0,0,1,100
Spectrum Community Health,1,1,0,0,0
Sphere Risk Health and Safety Management Ltd,1,1,0,0,0
Spider Project Café 71,1,1,0,0,0
Stockton Care Limited,1,0,0,1,100
South Kesteven District Council,1,1,0,0,0
South London Islamic Centre,1,1,0,0,0
South Molton Community Hospital,1,1,0,0,0
South Molton Health Care Centre,1,1,0,0,0
South Wales Fire and Rescue Service,1,0,0,1,100
South Wales Trunk Road Agent,1,1,0,0,0
South West Ambulance Service,1,0,0,1,100
Skillsforcare,1,1,0,0,0
Snap Inc,1,0,0,1,100
Snowdonia National Park Authority,1,0,0,1,100
Society for Cardiothoracic Surgery,1,1,0,0,0
Spindles Town Square Shopping Centre,1,1,0,0,0
Sports Camp Tirol,1,0,0,1,100
Springbank Care Home Limited,1,0,0,1,100
Springfield Care Home,1,1,0,0,0
Springfield Healthcare,1,1,0,0,0
Springfield House Care Home,1,1,0,0,0
Springfield Medical Centre,1,0,0,1,100
Square Sail,1,1,0,0,0
St Andrew’s Surgery Hull,1,0,0,1,100
St Armands Court Residential Care Home,1,1,0,0,0
British Airways,1,0,0,1,100
St Edward’s School,1,1,0,0,0
Athena Care Homes (UK) Limited,1,1,0,0,0
St Giles Nursing Home,1,0,0,1,100
St Lukes Primary Care Centre,1,1,0,0,0
Southend Hospital,1,1,0,0,0
Southmead Hospital,1,0,0,1,100
BUPA Care Homes,1,1,0,0,0
BUPA UK Provision,1,1,0,0,0
Backhouse Jones,1,1,0,0,0
Bailey Trailers Ltd,1,0,0,1,100
Bamford Grange Nursing Home,1,1,0,0,0
Association of Train Operating Companies,1,1,0,0,0
Aston University,1,1,0,0,0
St Giles Care Home,1,1,0,0,0
The Rail Maritime and Transport Union,1,1,0,0,0
The Range UK,1,0,0,1,100
The Red House (Ashtead) Limited,1,0,1,0,0
The Isle of Wight Clinical Commissioning Group,1,0,0,1,100
The Italian Embassy,1,1,0,0,0
The Ivy Grove Surgery,1,1,0,0,0
The Lawn Medical,1,1,0,0,0
The Lawson Practice,1,1,0,0,0
The Limehouse Practice,1,0,0,1,100
The Limes Care Home,1,0,0,1,100
Amgen,1,1,0,0,0
The Manor Residential and Nursing Care Home,1,0,0,1,100
The Moat Surgery,1,0,0,1,100
The Monkstone House Care Home,1,1,0,0,0
The Motor Ombudsman,1,1,0,0,0
The North Shore Surgery,1,1,0,0,0
The Oaks and Woodcroft Care Home,1,0,0,1,100
